#{"t_start": 1765055502.0717697, "env_id": "None"}
r,l,t
-14245.591984,90,100.541889
82859.211914,90,100.663169
201697.897636,90,100.779057
119982.08091,90,100.903912
93135.392944,90,101.042639
277960.215542,90,101.179043
-5352.393242,90,101.304871
11494.311138,90,101.435657
344725.12397,90,101.55871
159301.634811,90,101.683356
-11819.493946,90,101.807431
352277.409873,90,101.956517
335879.973675,90,102.084085
-119268.824055,90,102.23243
-70486.625282,90,102.365685
175427.164322,90,102.526756
53582.799919,90,102.677692
30494.371417,90,102.800953
226885.867451,90,102.928375
114844.593494,90,103.05949
-6294.096771,90,103.267179
-56087.982719,90,103.422259
111904.498316,90,103.553544
217810.844437,90,103.677534
118550.964233,90,103.787834
206936.655159,90,103.909754
240467.138161,90,104.017452
378004.968649,90,104.138882
218011.038986,90,104.249361
170284.816208,90,104.364494
155028.388325,90,104.472506
220107.576578,90,104.579053
-71471.503441,90,104.678559
-40587.950151,90,104.774318
163879.593073,90,104.87159
47270.195184,90,104.996368
303568.495903,90,105.111694
134735.605103,90,105.228046
-28006.397602,90,105.338537
148753.514824,90,105.453829
30741.413355,90,105.59669
163553.906464,90,105.71078
-33535.540115,90,105.8299
271277.818484,90,105.943452
119077.311092,90,106.045839
218187.892596,90,106.150541
-74961.142673,90,106.249257
69707.867355,90,106.36761
65312.066238,90,106.464288
52462.175114,90,106.578664
4511.860992,90,106.685642
35041.869728,90,106.801083
59121.846008,90,106.906307
80315.417564,90,107.005721
5378.202219,90,107.110396
49090.605586,90,107.219891
-2314.648758,90,107.315161
48159.668916,90,107.482869
1865.294591,90,107.581836
82853.636124,90,107.70356
134880.300396,90,107.806268
33734.793777,90,107.918289
108100.584034,90,108.030264
-94533.606794,90,108.137223
-69618.223404,90,108.23353
35395.151056,90,108.340073
8027.919161,90,108.443192
261938.699924,90,108.559297
211343.067406,90,108.662049
179039.145863,90,108.763813
107208.678421,90,108.862318
147925.555698,90,108.975654
134048.866818,90,109.082755
77079.255543,90,109.216909
125942.880096,90,109.341209
66791.863556,90,109.459239
259816.281021,90,109.555557
79039.753368,90,109.662686
135946.8078,90,109.764219
100333.052361,90,109.870136
57318.325409,90,109.979889
65473.496033,90,110.144683
-26522.261063,90,110.254669
147636.733894,90,110.540988
116378.715408,90,110.64446
59349.457472,90,110.74636
194799.845917,90,110.840441
252413.059153,90,110.944464
19147.777611,90,111.037119
70148.822758,90,111.135129
153106.41835,90,111.235161
230297.167863,90,111.354255
216541.587212,90,111.463662
100963.50132,90,111.576071
250089.785221,90,111.682897
31957.331573,90,111.797155
127975.724476,90,111.903429
219243.746342,90,112.012287
104732.440762,90,112.121175
2990.275372,90,112.233709
137468.292709,90,112.333918
26959.803123,90,112.435507
-47373.530045,90,112.531884
56490.431679,90,112.642566
116862.513988,90,112.748563
84654.117584,90,112.848026
107980.909805,90,112.958728
189962.830202,90,113.075956
192838.629753,90,113.179885
150832.56422,90,113.288615
227303.436783,90,113.38097
221197.300568,90,113.487316
67753.300735,90,113.597598
240455.511929,90,113.721359
-781.412397,90,113.837995
114553.493637,90,113.960925
77543.489761,90,114.076586
52499.281479,90,114.22319
1052.922363,90,114.420858
60548.852219,90,114.560096
30409.884216,90,114.673001
129519.352886,90,114.804575
77305.676537,90,114.912905
270902.059452,90,115.025849
146903.631943,90,115.139435
36109.746735,90,115.256566
-48137.24432,90,115.364941
84443.269905,90,115.480604
-10924.307934,90,115.584981
98419.376246,90,115.691623
213967.977814,90,115.80591
93508.720467,90,115.92896
134164.955528,90,116.040586
230435.565485,90,116.147762
102957.884087,90,116.252597
-24606.755669,90,116.354145
250988.006607,90,116.44711
56735.147236,90,116.549525
32770.115982,90,116.643322
-16435.184402,90,116.748844
-74714.162724,90,116.84803
3059.093674,90,116.949583
-2202.17926,90,117.043501
-54459.315788,90,117.16613
-116696.941467,90,117.264334
-15893.412376,90,117.36513
135472.508091,90,117.463206
118681.435913,90,117.560595
-14610.893196,90,117.660728
81009.505989,90,117.764661
-4217.676392,90,117.868366
-37885.889923,90,117.985764
11368.076416,90,118.078922
148312.686455,90,118.187847
49919.599125,90,118.280523
101981.458748,90,118.390965
-5540.011715,90,118.485688
63668.574585,90,118.58777
-37117.735382,90,118.680251
28200.215069,90,118.785707
77695.42104,90,118.883195
23381.260947,90,118.985817
73547.528076,90,119.082285
153382.645142,90,119.191008
57974.484863,90,119.291373
-56497.284679,90,119.390966
4894.892721,90,119.489124
113189.593048,90,119.659075
-42810.412487,90,119.757457
-29729.151695,90,119.862429
70432.695786,90,119.956391
180454.546906,90,120.062008
157058.150936,90,120.155571
36132.308868,90,120.25709
156110.051552,90,120.351907
123675.779696,90,120.457414
200909.493671,90,120.552066
